"R0000100","R0069500","R0536300","R0536402","R0538700","R0554500","R0554800","R1201300","R1236000","R1482600","R1487700","R2463300","R2600200","R2729700","R3481900","R3776700","R3876300","R3884701","R3885200","R3885300","R3885400","R3899100","R3923600","R3925200","R3925300","R5511700","R9829600","S7513500","S7521300","S7521400","S7521500","S7521600","S7521700","S7521800","S7521900","S7522000","S7522100","T0013900","T0022000","T0022100","T0022200","T0022300","T0022400","T0022500","T0022600","T0022700","Z9083800"
3968,1,2,1983,1,3,4,1,2,4,0,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,14,-5,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,15,-4,-4,-4,-4,-4,-4,-4,-4,16
3969,2,1,1983,1,5,5,1,2,4,1,2,4,1,2,3,16,9,5,2,1,1,4,0,1,16,-4,15,2500,-4,-4,-4,-4,-4,-4,-4,-4,16,2613,-4,-4,-4,-4,-4,-4,-4,16
3970,2,2,1980,1,3,3,1,3,4,7,3,-3,1,5,-4,19,12,10,1,0,0,-4,2,3,9,90829,12,250,725,800,-4,-4,-4,-4,-4,-4,13,547,-4,-4,-4,-4,-4,-4,-4,15
3971,2,2,1983,1,3,3,1,2,4,0,2,-3,1,4,3,16,9,4,2,1,0,4,0,1,13,91959,14,940,-4,-4,-4,-4,-4,-4,-4,-4,14,1040,-4,-4,-4,-4,-4,-4,-4,14
3972,2,2,1981,1,2,-2,1,4,4,2,3,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,18,34112,12,950,1050,-4,-4,-4,-4,-4,-4,-4,12,825,925,-4,-4,-4,-4,-4,-4,14
3973,2,2,1982,2,1,2,1,4,1,1,2,3,1,3,2,17,10,2,4,2,0,3,0,1,14,2995,17,1149,-4,-4,-4,-4,-4,-4,-4,-4,18,1250,-4,-4,-4,-4,-4,-4,-4,18
3974,2,1,1984,2,1,2,1,4,1,1,2,3,1,2,2,15,9,1,4,2,0,3,0,1,16,26896,14,1463,-3,-4,-4,-4,-4,-4,-4,-4,14,-3,1625,1463,-4,-4,-4,-4,-4,14
3975,1,2,1981,1,2,2,1,4,4,1,3,3,1,3,3,18,12,1,3,0,0,3,0,1,15,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,13
3976,2,2,1983,1,-4,-4,-4,4,4,7,2,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,15,63859,17,2100,-4,-4,-4,-4,-4,-4,-4,-4,17,2398,-4,-4,-4,-4,-4,-4,-4,17
3977,1,2,1984,1,2,3,1,4,4,0,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,11,828,700,-4,-4,-4,-4,-4,-4,-4,11,806,850,-4,-4,-4,-4,-4,-4,11
3978,2,2,1981,1,1,1,1,3,4,0,3,3,1,1,3,18,12,2,4,0,1,3,0,0,-5,29481,18,1563,-4,-4,-4,-4,-4,-4,-4,-4,18,1250,-4,-4,-4,-4,-4,-4,-4,18
3979,3,2,1980,1,3,4,1,3,4,2,3,3,1,1,3,19,12,1,5,1,1,3,0,0,18,23138,14,1548,-4,-4,-4,-4,-4,-4,-4,-4,14,1668,-4,-4,-4,-4,-4,-4,-4,14
3980,1,1,1983,1,3,4,1,1,4,0,2,3,1,2,3,16,10,1,5,1,1,3,1,3,14,78098,13,1000,880,900,-4,-4,-4,-4,-4,-4,13,824,860,-4,-4,-4,-4,-4,-4,13
3981,2,1,1983,1,1,1,1,4,4,1,1,3,1,1,1,16,9,1,3,1,1,3,0,3,19,30160,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,11,-3,-4,-4,-4,-4,-4,-4,-4,11
3982,2,2,1981,1,4,3,1,3,4,0,3,4,1,1,3,18,12,1,3,0,1,4,0,2,15,50632,14,1138,-4,-4,-4,-4,-4,-4,-4,-4,16,1202,1200,-4,-4,-4,-4,-4,-4,18
3983,1,2,1984,1,2,1,1,4,4,1,1,2,1,1,3,15,9,2,4,2,0,2,0,0,13,80897,13,1558,1163,800,700,700,-4,-4,-4,-4,13,800,875,800,5000,-4,-4,-4,-4,13
3984,1,2,1982,1,3,3,1,4,4,0,3,4,1,2,3,17,10,-3,2,1,-3,3,2,2,17,7752,11,800,1000,895,-4,-4,-4,-4,-4,-4,11,-3,1074,900,-4,-4,-4,-4,-4,11
3985,1,2,1981,1,3,4,1,2,4,2,3,2,1,2,3,18,12,10,1,0,1,1,0,3,10,-4,13,1065,710,-4,-4,-4,-4,-4,-4,-4,13,1114,2000,-4,-4,-4,-4,-4,-4,13
3986,2,1,1983,1,3,4,1,2,4,2,2,2,1,1,2,16,10,1,3,1,0,3,0,0,15,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,12
3987,3,1,1980,1,3,4,1,2,4,1,3,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,18439,14,2372,1825,700,-4,-4,-4,-4,-4,-4,13,1224,1303,-4,-4,-4,-4,-4,-4,13
3988,1,1,1980,1,7,7,2,1,4,1,3,1,4,1,5,19,13,1,4,0,0,-4,0,2,18,84913,16,1962,-4,-4,-4,-4,-4,-4,-4,-4,16,2885,-4,-4,-4,-4,-4,-4,-4,16
3989,1,2,1981,1,7,7,3,1,4,0,3,1,4,1,3,18,12,9,4,0,0,1,0,2,16,99379,16,3300,-4,-4,-4,-4,-4,-4,-4,-4,16,2219,3500,-4,-4,-4,-4,-4,-4,16
3990,4,2,1982,1,3,1,1,2,4,1,3,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,15,35340,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,12
3991,2,1,1980,1,3,5,1,2,4,5,3,2,1,2,-4,19,10,10,1,0,1,-4,0,3,11,28100,10,15000,-4,-4,-4,-4,-4,-4,-4,-4,10,1062,-4,-4,-4,-4,-4,-4,-4,10
